"","linea","anno","peso"
"1","L3",2021,165
"2","L3",2021,179
"3","L3",2021,168
"4","L3",2021,155
"5","L3",2021,160
"6","L3",2021,159
"7","L3",2021,169
"8","L3",2021,159
"9","L3",2021,166
"10","L3",2021,171
"11","L3",2021,172
"12","L3",2021,172
"13","L3",2021,168
"14","L3",2021,164
"15","L3",2021,170
"16","L3",2021,158
"17","L3",2021,161
"18","L3",2021,161
"19","L3",2021,171
"20","L4",2021,191
"21","L4",2021,187
"22","L4",2021,190
"23","L4",2021,192
"24","L4",2021,192
"25","L4",2021,199
"26","L4",2021,202
"27","L4",2021,209
"28","L4",2021,206
"29","L4",2021,202
"30","L4",2021,214
"31","L4",2021,189
"32","L5",2021,179
"33","L5",2021,184
"34","L5",2021,199
"35","L5",2021,193
"36","L5",2021,180
"37","L5",2021,190
"38","L5",2021,202
"39","L5",2021,187
"40","L5",2021,193
"41","L5",2021,190
"42","L1",2020,157
"43","L1",2020,148
"44","L1",2020,144
"45","L1",2020,136
"46","L1",2020,163
"47","L1",2020,158
"48","L1",2020,164
"49","L1",2020,174
"50","L1",2020,157
"51","L1",2020,170
"52","L1",2020,148
"53","L1",2020,147
"54","L1",2020,142
"55","L1",2020,134
"56","L1",2020,143
"57","L1",2020,139
"58","L1",2020,149
"59","L2",2020,174
"60","L2",2020,154
"61","L2",2020,163
"62","L2",2020,162
"63","L2",2020,158
"64","L2",2020,183
"65","L2",2020,183
"66","L2",2020,175
"67","L2",2020,158
"68","L2",2020,147
"69","L2",2020,147
"70","L2",2020,174
"71","L2",2020,164
"72","L2",2020,155
"73","L2",2020,155
"74","L2",2020,140
"75","L2",2020,150
"76","L2",2020,144
